date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name
2015/01/18,ar,27,94577,5PycBIeabfvX3n9ILG7Vrv,['Romeo Santos'],['bachata'],235133,False,Propuesta Indecente
2016/08/04,lt,144,2218,5deDWZeDHWfYk9xaq9ynh4,"['Steve Aoki', 'Boehm', 'WALK THE MOON']","['pop rap', 'indie poptimism', 'tropical house', 'modern rock', 'pop rock', 'rock', 'deep tropical house', 'electro house', 'modern alternative rock', 'dance rock', 'dance pop', 'pop dance', 'edm']",275977,False,Back 2 U (feat. WALK THE MOON)
2014/04/27,ee,14,6055,6oP02i1hRc3Qp9bd36Ya3Z,['Tiësto'],"['pop', 'big room', 'trance', 'tropical house', 'pop dance', 'dutch edm', 'house', 'slap house', 'dance pop', 'brostep', 'edm']",263890,False,Red Lights
2022/08/04,ec,35,185760,0wihfILRNOwE2156Shezc8,['Bad Bunny'],"['reggaeton', 'trap latino']",139041,False,Agosto
2015/07/09,ca,169,21150,3qcTnkyiU6w416H1Yo8Oio,"['JIMIN', 'Iron']",['k-pop'],182750,False,Puss
2017/03/23,hk,170,15259,2lNW5QL7nedgPJJo0ajYsj,['Jason Chan'],['cantopop'],241926,False,告別之前
2022/04/21,ec,186,41693,3UI9I3e1g1y5T3SMfdgfGO,"['Carlos Baute', 'Marta Sánchez']","['spanish pop', 'latin pop']",230280,False,Colgando en tus manos (con Marta Sánchez)
2021/03/18,tr,197,192561,3YrGsR3jO2dJX5cqUbNpKG,['Dolu Kadehi Ters Tut'],['turkish alt pop'],227500,False,Islansın
2016/07/14,au,147,76308,1MsyEbEQca1sfC9JnkKnOm,['Maggie Rogers'],"['indie pop', 'pop']",188717,False,Alaska
2021/05/06,lu,55,6094,1KixkQVDUHggZMU9dUobgm,['Ava Max'],"['dance pop', 'pop']",174760,False,My Head & My Heart
2021/04/22,ru,109,102981,1P0mPfVu25ty2MBmCZRQfK,['GONE.Fludd'],"['russian hip hop', 'russian trap']",126950,True,CHILL
2022/08/04,pl,75,319519,4dOkS135hpWHeSP0GSmHb4,['SKUTE BOBO'],[],188566,True,SKUTE BOBO
2020/01/16,co,112,77238,5W83ErFkO3aKAIS1WMi6u0,"['Anuel AA', 'KAROL G']","['trap boricua', 'reggaeton flow', 'trap latino', 'reggaeton', 'reggaeton colombiano']",258800,False,Secreto
2020/01/16,th,189,44115,6Slc1wXZDs8zDA6Ip9mPFE,['O-Pavee'],['thai pop'],258455,False,พยายาม
2014/10/12,lt,4,11641,1q676iYDR3GeJtOHdyggIU,['Meghan Trainor'],"['pop', 'hip pop', 'post-teen pop', 'dance pop', 'uk pop']",187920,False,All About That Bass
2016/01/28,au,162,54998,3jHCXrZNz8fQEEf4BpWCAj,['Justin Bieber'],"['pop', 'canadian pop']",210160,False,Purpose
2022/02/24,cy,114,3945,79nEEoEPY2w8EXj9hjn5oc,['Yung Lean'],"['psychedelic hip hop', 'underground hip hop']",153999,True,Ginseng Strip 2002
2014/02/23,global,23,2550934,6F5c58TMEs1byxUstkzVeM,['Katy Perry'],"['dance pop', 'pop']",223546,False,Roar
2016/10/27,de,93,262591,4dCGCvWz2YGBDBor9AKQU7,['Tim Bendzko'],['german pop'],197213,False,Keine Maschine
2015/01/04,es,30,311483,7dS5EaCoMnN7DzlpT6aRn2,['Hozier'],"['irish singer-songwriter', 'pop']",241688,False,Take Me To Church
2015/11/26,gr,30,8819,7vldwy3gdhmPRKWSCi8H61,"['Justin Bieber', 'Halsey']","['pop', 'canadian pop', 'indie poptimism', 'etherpop', 'electropop', 'dance pop']",244906,False,The Feeling
2018/08/09,hk,62,27583,5kZDxLcbqglZ2yYXg4Mkjc,['JJ Lin'],"['singaporean pop', 'mandopop', 'singaporean mandopop']",244470,False,那些你很冒險的夢
2021/08/12,gr,30,92226,7AeJhLrw5gWEh2p0yQKAGE,"['Sigma', 'Mente Fuerte']","['greek hip hop', 'greek pop', 'greek trap']",200655,True,Amnesia
2022/09/29,do,185,17564,1WbXIpiGBJkCiv3hn40iPB,"['Romeo Santos', 'Ozuna']","['puerto rican pop', 'reggaeton', 'bachata', 'trap latino']",198332,False,Sobredosis (feat. Ozuna)
2014/11/30,nl,127,52312,51ODNNDZm21HU7wI7cccRr,"['Disclosure', 'Sam Smith']","['pop', 'uk pop', 'house', 'uk dance', 'dance pop', 'edm']",255631,False,Latch
2015/03/22,pe,46,17024,6eLrCtqlpjroAkES2EHCx0,['Ed Sheeran'],"['pop', 'uk pop']",235382,False,Sing
2022/07/07,sv,34,73975,4r9jkMEnArtWGH2rL2FZl0,['Bad Bunny'],"['reggaeton', 'trap latino']",175918,False,A Tu Merced
2021/02/04,sv,62,30869,5QO79kh1waicV47BqGRL3g,['The Weeknd'],"['canadian contemporary r&b', 'pop', 'canadian pop']",215626,True,Save Your Tears
2015/01/25,sg,80,18307,5Sf3GyLEAzJXxZ5mbCPXTu,"['Mr. Probz', 'Robin Schulz']","['pop', 'german dance', 'pop dance', 'deep house', 'dutch hip hop', 'dance pop', 'tropical house', 'deep euro house', 'edm']",208133,False,Waves - Robin Schulz Radio Edit
2017/10/19,gb,3,2548081,1rfofaqEpACxVEHIZBJe6W,"['Camila Cabello', 'Young Thug']","['pop rap', 'gangster rap', 'southern hip hop', 'pop', 'melodic rap', 'rap', 'atl trap', 'post-teen pop', 'dance pop', 'atl hip hop', 'trap', 'hip hop', 'uk pop']",217306,False,Havana (feat. Young Thug)
2021/04/01,gb,196,383352,0nbXyq5TXYPCO7pr3N8S4I,['Roddy Ricch'],"['trap', 'melodic rap', 'rap']",196652,True,The Box
2022/10/13,gt,117,63682,1qfoq1qvZT7VwDVeekCJ97,['Christian Nodal'],"['nueva musica mexicana', 'musica mexicana', 'ranchera', 'mariachi']",167373,False,De Los Besos Que Te Di
2014/11/02,it,144,22809,1V7WemQ5uIEgtzQmhJyZOg,['Giorgia'],"['classic italian pop', 'italian adult pop']",204026,False,Io fra tanti
2020/08/27,se,69,221395,1sgDyuLooyvEML4oHspNza,"['Kygo', 'OneRepublic']","['pop', 'piano rock', 'pop dance', 'tropical house', 'edm']",199549,False,Lose Somebody
2017/01/19,tr,124,39069,3d54yF6CHGO8lzD0470vtS,['Duman'],"['turkish alternative rock', 'turkish alternative', 'turkish rock', 'anadolu rock', 'karadeniz turkuleri']",301734,False,Öyle Dertli
2019/05/30,is,108,8513,5qrSlOut2rNAWv3ubArkNy,['Dean Lewis'],"['pop', 'australian pop', 'uk pop']",196493,True,Be Alright
2022/11/03,ie,54,87284,02MWAaffLxlfxAUY7c5dvx,['Glass Animals'],"['gauze pop', 'indietronica', 'shiver pop']",238805,False,Heat Waves
2022/05/19,gt,192,44732,2DEZmgHKAvm41k4J3R2E9Y,"['Bad Bunny', 'Jowell & Randy', 'Ñengo Flow']","['reggaeton flow', 'latin hip hop', 'reggaeton', 'trap latino']",295176,True,Safaera
2016/05/05,br,172,119262,2XlppgDEBKZf0heGEIZnxU,['Oriente'],['brazilian hip hop'],202245,False,"Linda, Louca e Mimada"
2022/07/14,fr,10,1571549,6PrB4KpvuoYWtwjPC5a44S,"['Soolking', 'Niska']","['francoton', 'rap tunisien', 'french hip hop', 'pop urbaine', 'rap algerien']",176120,False,Balader
2015/11/05,hk,62,13321,1eId3TVzGrwv73YAWAVQMX,['Jason Chan'],['cantopop'],237733,False,你瞞我瞞
2020/05/14,co,67,129915,2J9B63FawlTaPdg4eH5X03,['Beéle'],"['reggaeton colombiano', 'trap latino', 'reggaeton']",204000,False,Loco
2020/07/16,tw,2,286322,69zgyr5HVKdInjeKpq1qHa,['831'],"['taiwan pop', 'mandopop', 'taiwan idol pop']",239794,False,"想見你想見你想見你(電視劇""想見你""片尾曲)"
2014/09/28,ch,31,22868,5lLWaxERQ4968sWjPyxxLm,"['Jason Derulo', 'Snoop Dogg']","['pop rap', 'gangster rap', 'pop', 'g funk', 'rap', 'west coast rap', 'dance pop', 'edm', 'hip hop', 'post-teen pop']",193295,False,Wiggle (feat. Snoop Dogg)
2015/08/13,ee,194,1810,6sKAs2tdtTVTO2U0IgJAur,['Icona Pop'],"['candy pop', 'dance pop', 'electropop', 'metropopolis', 'uk pop', 'edm', 'swedish electropop', 'swedish synthpop', 'pop']",169617,True,Emergency
2019/09/12,sa,109,11055,5rFj8OzffT0iggSjcBaeND,['Sam Smith'],"['dance pop', 'pop', 'uk pop']",246735,False,"Fire On Fire - From ""Watership Down"""
2018/11/22,ni,120,3306,2AkmdLbVKS1steeZdy8H1l,['Queen'],"['glam rock', 'rock', 'classic rock']",258013,False,I Want To Break Free - Single Remix
2016/12/01,lt,110,3114,0KKkJNfGyhkQ5aFogxQAPU,['Bruno Mars'],"['dance pop', 'pop']",206693,False,That's What I Like
2016/01/28,ni,71,2157,41Fflg7qHiVOD6dEPvsCzO,"['Fifth Harmony', 'Kid Ink']","['pop rap', 'southern hip hop', 'girl group', 'talent show', 'pop', 'rap', 'uk pop', 'dance pop', 'trap', 'hip hop', 'post-teen pop']",224573,False,Worth It (feat. Kid Ink)
2021/08/05,jp,109,249001,7M9lc2hHXKQobbHQ31Yg2v,['YOASOBI'],"['japanese teen pop', 'j-pop']",205000,False,Monster
2021/08/26,bg,75,9088,792HwhrdO3ErRKL5yRe4Ge,['Pop Smoke'],['brooklyn drill'],127546,True,Invincible
2020/07/30,ie,186,44303,70pP6E6VvznsfrSsznnQnk,['Dermot Kennedy'],"['irish pop', 'pop', 'folk-pop']",247060,False,All My Friends
2017/10/26,my,126,41585,5V7mTIcXVU9k2JNu0mE6vy,['Secondhand Serenade'],"['piano rock', 'pop punk', 'pixie']",176946,False,Fall for You (Acoustic)
2015/12/10,se,45,399536,0r4SsYcwvd8URat6AS2m6f,['Zara Larsson'],"['swedish electropop', 'pop', 'scandipop', 'swedish pop', 'post-teen pop', 'pop dance', 'uk pop', 'electropop', 'dance pop', 'tropical house', 'edm']",201122,False,Lush Life
2016/08/11,lv,59,5482,2Aa1wE8ofs2tu59TOQrZKW,['DNCE'],"['pop', 'post-teen pop', 'dance pop', 'edm', 'uk pop']",218440,True,Cake By The Ocean
2015/07/30,us,184,214349,2rmq49FcJ4U3wh1Z7C9UxE,['Childish Gambino'],"['pop', 'atl hip hop', 'rap', 'hip hop']",180680,True,IV. Sweatpants
2019/11/07,lu,138,3441,6AFIVhbJLR7YVvW9fLFMu1,"['Samra', 'Capital Bra']",['german hip hop'],182238,True,Huracan
2016/10/06,tw,49,44859,4pkUru7mlNlEP5B5urUbGL,['Julia Peng'],"['taiwan pop', 'classic mandopop', 'mandopop', 'c-pop']",308786,False,大齡女子
2020/07/02,hk,93,28149,7szuecWAPwGoV1e5vGu8tl,['The Weeknd'],"['canadian contemporary r&b', 'pop', 'canadian pop']",237520,True,In Your Eyes
2015/10/15,au,186,43826,3viZcRlE38APncWJ5VGM4q,['Selena Gomez'],"['dance pop', 'post-teen pop', 'pop']",194826,False,Sober
2022/06/30,ar,35,885258,6DoL1yYIwEW7VZMRaJhoJI,"['Chris Jedi', 'Anuel AA', 'Chencho Corleone', 'Ñengo Flow']","['latin hip hop', 'reggaeton', 'trap boricua', 'reggaeton flow', 'trap latino']",254920,True,La Llevo Al Cielo (Ft. Ñengo Flow)
2022/04/28,kr,18,52077,4zCIxSnVWpGNghERX4uWZF,"['YENA', 'BIBI']","['korean r&b', 'k-pop']",173413,False,SMILEY(Feat. BIBI)
2022/09/22,sg,110,60946,2BgEsaKNfHUdlh97KmvFyo,['Anne-Marie'],"['pop', 'uk pop', 'pop dance', 'dance pop', 'tropical house', 'post-teen pop']",186986,False,2002
2021/04/01,bo,70,30777,3dEtfTtCXWW7N8WQ9FD29z,"['Lyanno', 'Rauw Alejandro', 'Lenny Tavárez', 'Maria Becerra']","['pop argentino', 'reggaeton', 'trap argentino', 'puerto rican pop', 'trap boricua', 'latin pop', 'reggaeton flow', 'trap latino']",310860,True,En Tu Cuerpo - Remix
2018/11/01,uy,74,18209,3SvbcJH2seu1zs0PMjPS6F,['Morat'],"['colombian pop', 'latin pop']",234656,False,Otras Se Pierden
2017/05/18,fi,115,68134,3vcHPShfJAFP3TtAAsTHsV,['Sunstroke Project'],"['moldovan pop', 'eurovision']",179625,False,Hey Mamma - Radio Edit
2021/04/08,tw,171,50086,2urzYCyon3tncXk26kpMYo,['卓義峯'],['taiwan pop'],304483,False,再見煙火
2017/03/02,nz,164,32159,40riOy7x9W7GXjyGp4pjAv,['Eagles'],"['folk rock', 'mellow gold', 'soft rock', 'country rock', 'heartland rock', 'classic rock', 'album rock', 'rock', 'singer-songwriter', 'yacht rock']",391376,False,Hotel California - 2013 Remaster
2022/03/03,ua,66,28376,175xPRXSrf7RSWdjAhc6oD,['Nikitata'],"['russian alt pop', 'russian hip hop']",121592,False,ТАЙМАУТ
2019/01/10,co,183,38509,7LeQ55Z5jPBB0ggYJtAiYO,"['Anuel AA', 'Ozuna']","['reggaeton', 'puerto rican pop', 'trap boricua', 'reggaeton flow', 'trap latino']",216857,True,Brindemos
2022/03/24,tr,116,416292,5mYWN3KP5LHzhlLpkORW7e,['Bedo'],['turkish trap pop'],143817,False,Yalan
2021/04/29,cl,70,303312,35UUpTmrcFXNIVIN26ujXl,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']","['trap latino', 'latin hip hop', 'reggaeton', 'reggaeton colombiano', 'panamanian pop', 'r&b en espanol']",247308,False,Relación - Remix
2021/01/07,lu,170,2474,3U4isOIWM3VvDubwSI3y7a,['John Legend'],"['pop', 'pop soul', 'urban contemporary', 'neo soul', 'r&b']",269560,False,All of Me
2021/07/01,ie,75,70734,3PfIrDoz19wz7qK7tYeu62,['Dua Lipa'],"['dance pop', 'pop', 'uk pop']",183290,False,Don't Start Now
2018/01/25,lu,196,1723,1gI6FedOWXQ7aSj4FfEiGK,['Niska'],"['french hip hop', 'pop urbaine']",199600,True,Medellín
2016/09/22,ie,175,14826,3U4isOIWM3VvDubwSI3y7a,['John Legend'],"['pop', 'pop soul', 'urban contemporary', 'neo soul', 'r&b']",269560,False,All of Me
2022/06/23,cl,89,367244,124RKptoEHiglKOeXdcPAc,"['JOSEPE EL DEMENTE', 'Sayian Jimmy']","['urbano chileno', 'trap latino']",200653,True,Morena Cachetona
2019/02/14,lt,42,10802,5kfNriitmkNE8mUbZ7gbq8,['Khalid'],"['pop r&b', 'pop']",210666,False,Saturday Nights
2016/11/10,de,98,236362,2IDDQFHRf9iH35jeL89uNs,"['Alle Farben', 'YouNotUs']","['dance pop', 'deep euro house', 'tropical house', 'edm', 'pop dance', 'german dance']",172640,False,Please Tell Rosie
2019/12/19,it,169,348011,4B8LIsJKpPyBbuSEQE6i41,['thasup'],"['italian pop', 'trap italiana', 'italian hip hop']",86666,True,7rapper ma1
2023/03/30,pl,113,281404,7IFuCdfzWR9bKgIoOqJE4j,"['Malik Montana', 'Fivio Foreign', 'Luciano', 'Baby Gang']","['pop rap', 'german drill', 'new york drill', 'polish drill', 'rap', 'trap italiana', 'trap', 'polish hip hop', 'polish trap', 'brooklyn drill']",236910,True,Ay Lala (feat. Baby Gang)
2020/12/31,py,147,32081,18FLmHcIlah4PuJfCNfr1s,['Alex Manga'],[],244897,False,Busca Un Confidente
2019/01/17,th,57,49858,3WQe3r4R1lnJs75ty9UYDF,"['Room 39', 'โป่ง หินเหล็กไฟ']",['thai pop'],228000,False,บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)
2021/07/08,lt,47,14948,36ONZ2CvV8KsLPapNPGTqa,['Måneskin'],"['italian pop', 'indie rock italiano']",126706,False,L'altra dimensione
2022/09/29,cy,33,9843,0WtM2NBVQNNJLh6scP13H8,"['Rema', 'Selena Gomez']","['pop', 'dance pop', 'nigerian pop', 'post-teen pop']",239317,False,Calm Down (with Selena Gomez)
2017/04/13,hu,69,11703,7GX5flRQZVHRAGd6B4TmDO,['Lil Uzi Vert'],"['rap', 'philly rap', 'melodic rap', 'trap']",182706,True,XO Tour Llif3
2018/10/11,tw,20,80437,4VUwkH455At9kENOfzTqmF,"['Bazzi', 'Camila Cabello']","['pop', 'post-teen pop', 'electropop', 'dance pop', 'uk pop']",180000,False,Beautiful (feat. Camila Cabello)
